,species,gender,age,weight,breed,drug,outcome,date_in,react_term_code,react_term_name,first_exp_da,last_exp_da,admin_by,route,dosage_form
22,Dog,Female,2.00,27.578,Pit Bull,Melarsomine Dihydrochloride Injection,Outcome Unknown,20151015,334,Vomiting,20151013,20151014,Veterinarian,Intramuscular,Suspension
23,Dog,Female,9.00,1.588,Spitz - German Pomeranian,Spinosad,Outcome Unknown,20150603,1039,Lack of efficacy - NOS,20150514,20150514,Animal Owner,Oral,"Tablet, chewable"
24,Dog,Female,9.00,6.804,Dalmatian,Spinosad,Recovered/Normal,20150731,334,Vomiting,20150630,20150630,Animal Owner,Oral,"Tablet, chewable"
25,Dog,Female,8.00,28.576,Boxer (German Boxer),Spinosad,Recovered/Normal,20151027,334,Vomiting,201309,20151027,Animal Owner,Oral,"Tablet, chewable"
26,Dog,Male,8.00,5.897,Dachshund - Miniature,Spinosad,Outcome Unknown,20151110,2649,Lack of efficacy (ectoparasite) - flea,201311,20151101,Animal Owner,Oral,"Tablet, chewable"
27,Dog,Female,1.50,4.670,"['Maltese', 'Poodle (unspecified)']",Fluralaner Chew Tablets,Outcome Unknown,20151007,2658,Lack of efficacy (ectoparasite) - tick NOS,20150819,20150819,Animal Owner,Oral,"Tablet, chewable"
28,Dog,Female,3.00,6.350,Schnauzer - Miniature,Afoxolaner,Recovered/Normal,20151007,1492,Generalised itching,20150731,20150831,Animal Owner,Oral,"Tablet, chewable"
29,Dog,Female,8.75,8.165,Chihuahua,Spinosad,Outcome Unknown,20160112,2798,Lack of efficacy (endoparasite) - hookworm,201108,20160101,Animal Owner,Oral,"Tablet, chewable"
30,Cat,Male,6.00,3.175,Domestic Shorthair,Spinosad,Outcome Unknown,20151214,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20151213,20151213,Animal Owner,Oral,"Tablet, chewable"
31,Dog,Male,1.00,2.722,Poodle - Toy,Afoxolaner,Outcome Unknown,20160511,1756,Skin disorders NOS,20160501,20160501,Unknown,Oral,"Tablet, chewable"
32,Dog,Female,2.00,4.581,Maltese,Spinosad,Outcome Unknown,20160517,2649,Lack of efficacy (ectoparasite) - flea,20160401,20160503,Animal Owner,Oral,"Tablet, chewable"
33,Dog,Male,8.00,9.979,Terrier - Boston,Spinosad,Recovered/Normal,20160315,334,Vomiting,20160303,20160303,Animal Owner,Oral,"Tablet, chewable"
34,Dog,Female,16.00,12.701,"['Retriever - Labrador', 'Dog (unknown)']",Spinosad,Outcome Unknown,20151201,99115,"INEFFECTIVE, HEARTWORM LARVAE",20150120,20150720,Animal Owner,Oral,"Tablet, chewable"
35,Dog,Male,10.00,15.331,Sheepdog - Shetland,Melarsomine Dihydrochloride Injection,Died,20160418,1012,Pain NOS,20160210,20160415,Veterinarian,Intramuscular,Suspension
36,Dog,Female,2.00,23.100,Basenji,Ivermectin,Outcome Unknown,20160114,99115,"INEFFECTIVE, HEARTWORM LARVAE",,,Unknown,Oral,Tablet
37,Dog,Male,10.00,0,Dog (unknown),Insulin Injectable Vial,Recovered/Normal,20160121,99110,"INEFFECTIVE, GLYCEMIC CONTROL",20151222,20160121,Animal Owner,Subcutaneous,Suspension
38,Dog,Unknown,0,34.019,Retriever - Golden,Afoxolaner,Outcome Unknown,20170803,1018,Lethargy (see also Central nervous system depression in 'Neurological'),,20170801,Unknown,Oral,"Tablet, chewable"
39,Dog,Unknown,6.00,0,Poodle - Miniature,Oclacitinib Maleate,Recovered/Normal,20170609,718,Polyuria,20170605,,Animal Owner,Oral,Tablet
40,Dog,Male,5.00,19.051,"['Retriever - Labrador', 'Dog (unknown)', 'Bulldog - French']",Sarolaner,Outcome Unknown,20171205,334,Vomiting,20171101,20171202,Animal Owner,Oral,"Tablet, chewable"
41,Dog,Male,2.00,34.473,Retriever - Golden,Enrofloxacin,Outcome Unknown,20170821,99083,"INEFFECTIVE, ANTIBIOTIC",20170815,20170820,Animal Owner,Oral,"Tablet, chewable"
42,Dog,Unknown,0,0,Doberman Pinscher,Nitenpyram,Outcome Unknown,20170531,2190,Unclassifiable adverse event,20170503,20170503,Animal Owner,Oral,Tablet
43,Cattle,Female,0,136.078,Mixed (Cattle),Ceftiofur Crystalline Free Acid,Died,20171003,2110,Unrelated death,20170919,20170919,Animal Owner,Subcutaneous,Suspension
44,Dog,Female,6.00,4.990,Maltese,Spinosad,Ongoing,20170925,99951,UNPALATABLE,20110101,20170601,Animal Owner,Oral,"Tablet, chewable"
45,Dog,Male,8.00,17.872,Pit Bull,Spinosad,Recovered/Normal,20161109,334,Vomiting,20161108,20161108,Animal Owner,Oral,"Tablet, chewable"
46,Dog,Male,4.00,0,Retriever - Labrador,Imidacloprid,Outcome Unknown,20160520,99115,"INEFFECTIVE, HEARTWORM LARVAE",20150510,20160306,Animal Owner,Topical,Solution
47,Dog,Male,3.00,10.433,Terrier - Jack Russell,Spinosad,Recovered/Normal,20160418,334,Vomiting,20160416,20160416,Animal Owner,Oral,"Tablet, chewable"
48,Dog,Male,4.00,32.795,Retriever - Labrador,Ivermectin,Outcome Unknown,20160804,305,Digestive tract disorder NOS,20150804,20160701,Unknown,Oral,"Tablet, chewable"
49,Dog,Female,16.00,34.473,Retriever - Labrador,Ivermectin,Outcome Unknown,20160901,305,Digestive tract disorder NOS,20160201,20160816,Unknown,Oral,"Tablet, chewable"
50,Dog,Male,7.00,43.681,Retriever - Labrador,Ivermectin,Outcome Unknown,20160610,305,Digestive tract disorder NOS,20150501,20160515,Unknown,Oral,"Tablet, chewable"
51,Dog,Female,4.00,19.504,Crossbred Canine/dog,Spinosad,Outcome Unknown,20160906,99951,UNPALATABLE,20160702,20160902,Animal Owner,Oral,"Tablet, chewable"
52,Dog,Male,3.00,36.287,Retriever - Labrador,Ivermectin,Outcome Unknown,20160802,305,Digestive tract disorder NOS,20160107,20160715,Unknown,Oral,"Tablet, chewable"
53,Dog,Male,2.00,15.876,Hound (unspecified),Ivermectin,Recovered with Sequela,20161102,99115,"INEFFECTIVE, HEARTWORM LARVAE",20151121,20161001,Unknown,Oral,"Tablet, chewable"
54,Cat,Female,11.00,9.979,"['Maine Coon', 'Ragdoll']",Nitenpyram,Outcome Unknown,20160828,121,Agitation,20160828,20160828,Animal Owner,Oral,Tablet
55,Dog,Female,6.00,32.659,Retriever - Labrador,Ivermectin,Recovered/Normal,20160929,645,Seizure NOS,20140910,20160813,Unknown,Oral,"Tablet, chewable"
56,Dog,Unknown,8.00,0,Retriever - Golden,Oclacitinib Maleate,Outcome Unknown,20161212,2072,Haemangiosarcoma,,,Animal Owner,Oral,Tablet
57,Dog,Female,2.00,4.300,Maltese,Ivermectin,Ongoing,20170314,304,Loose stool,20170313,20170313,Unknown,Oral,Tablet
58,Dog,Female,7.00,2.313,Terrier - Yorkshire,Sarolaner,Outcome Unknown,20160929,2649,Lack of efficacy (ectoparasite) - flea,20160915,20160915,Animal Owner,Oral,"Tablet, chewable"
59,Dog,Male,2.00,29.484,Shepherd Dog - German,Ivermectin,Outcome Unknown,20170614,202,Cardiac disorder NOS,20160307,20170601,Unknown,Oral,"Tablet, chewable"
60,Dog,Female,10.00,3.629,Terrier - Silky,Milbemycin Oxime,Outcome Unknown,20170405,99112,"INEFFECTIVE, HOOKS",20080101,20170101,Animal Owner,Oral,"Tablet, chewable"
61,Dog,Male,16.00,24.040,Mountain Cur,Spinosad,Outcome Unknown,20170116,99115,"INEFFECTIVE, HEARTWORM LARVAE",20160210,20161001,Animal Owner,Oral,"Tablet, chewable"
62,Dog,Male,1.30,28.576,Retriever - Labrador,Moxidectin,Ongoing,20181002,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20180911,20180911,Veterinarian,Subcutaneous,Suspension
63,Dog,Female,6.00,32.659,Hound (unspecified),Afoxolaner,Outcome Unknown,20190114,2648,Lack of efficacy (bacteria) - NOS,20180312,20190101,Animal Owner,Oral,"Tablet, chewable"
64,Dog,Female,11.00,11.521,Terrier - Boston,Ivermectin,Outcome Unknown,20190204,2656,Lack of efficacy (endoparasite) - roundworm NOS,20120622,20190126,Animal Owner,Oral,"Tablet, chewable"
65,Dog,Male,2.00,42.638,Shepherd Dog - German,Spinosad,Outcome Unknown,20181001,2430,Lack of efficacy (heartworm),20160415,20180901,Animal Owner,Oral,"Tablet, chewable"
66,Dog,Male,11.00,14.969,Dog (unknown),Pyrantel Pamoate,Recovered/Normal,20190304,334,Vomiting,20190303,20190303,Animal Owner,Oral,"Tablet, chewable"
67,Dog,Male,10.00,15.422,Shepherd Dog - Australian,Afoxolaner,Recovered/Normal,20190517,334,Vomiting,20190513,20190513,Animal Owner,Oral,"Tablet, chewable"
68,Dog,Female,14.00,18.370,Collie - Border,Spinosad,Outcome Unknown,20170907,334,Vomiting,20120409,20170601,Animal Owner,Oral,"Tablet, chewable"
69,Cat,Male,4.00,1.996,Domestic Shorthair,Praziquantel,Outcome Unknown,20180108,121,Agitation,20180105,20180105,Veterinarian,Topical,Solution
70,Cat,Unknown,0,0,Cat (unknown),Fluralaner Spot-On Solution,Recovered/Normal,20171004,686,Twitching,201707,201708,Animal Owner,Topical,Solution
71,Dog,Male,3.00,6.350,"['Pug', 'Chihuahua']",Imidacloprid,Recovered/Normal,20180209,116,Behavioural disorder NOS,20180209,20180209,Animal Owner,Topical,Solution
72,Dog,Female,7.00,8.165,Dachshund (unspecified),Ivermectin,Outcome Unknown,20171130,99112,"INEFFECTIVE, HOOKS",20170901,20171126,Unknown,Oral,"Tablet, chewable"
73,Dog,Male,9.00,26.308,Beagle,Ivermectin,Outcome Unknown,20180430,2430,Lack of efficacy (endoparasite) - heartworm,20161107,20180401,Animal Owner,Oral,"Tablet, chewable"
74,Dog,Male,5.00,4.990,"['Maltese', 'Poodle (unspecified)']",Oclacitinib Maleate,Outcome Unknown,20180626,2026,Urinary tract infection,20180609,20180623,Animal Owner,Oral,Tablet
75,Cat,Unknown,2.00,5.670,Domestic Shorthair,Praziquantel,Recovered/Normal,20180112,2657,Lack of efficacy (tapeworm),201701,201701,Animal Owner,Topical,Solution
76,Dog,Male,0,38.102,Boxer (German Boxer),Sarolaner,Outcome Unknown,20180713,2658,Lack of efficacy (ectoparasite) - tick NOS,20180626,20180626,Animal Owner,Oral,"Tablet, chewable"
77,Dog,Female,2.00,28.576,Terrier - Bull - American Pit,Moxidectin,Ongoing,20180508,2430,Lack of efficacy (endoparasite) - heartworm,20160304,20170303,Veterinarian,Subcutaneous,Suspension
78,Dog,Female,0,29.937,Dog (unknown),Grapiprant,Outcome Unknown,20180813,1039,Lack of efficacy - NOS,20180801,20180807,Animal Owner,Oral,Tablet
79,Human,Male,35.00,0,Unknown,Oxytetracycline Dihydrate (Oxytetracycline Amphoteric),Outcome Unknown,20180601,100,Injection site reaction NOS,20180601,20180601,Other,Unknown,Solution
80,Dog,Female,7.00,19.051,Spaniel (unspecified),Hyaluronic Acid,Outcome Unknown,20180720,445,"Cloudy eye (for Miosis, Mydriasis, Anisocoria, Nystagmus - see 'Neurological')",20180718,,Animal Owner,Unknown,Gel
81,Dog,Female,6.00,35.380,Weimaraner,Milbemycin Oxime,Outcome Unknown,20181017,99115,"INEFFECTIVE, HEARTWORM LARVAE",20150302,20180901,Animal Owner,Oral,Tablet
82,Dog,Male,14.00,8.165,Spitz - German Pomeranian,Selamectin,Outcome Unknown,20180802,884,Cough,20130101,20180729,Animal Owner,Topical,Solution
83,Dog,Female,11.00,3.629,Dog (other),Trilostane,Outcome Unknown,20180816,996,Anorexia,20180806,,Animal Owner,Oral,Capsule
84,Dog,Male,4.00,9.525,Shepherd Dog - Australian,Ivermectin,Ongoing,20200629,99112,"INEFFECTIVE, HOOKS",20200621,20200621,Animal Owner,Oral,"Tablet, chewable"
85,Dog,Female,6.00,9.752,"['Spaniel - Cocker American', 'Poodle (unspecified)']",Ivermectin,Outcome Unknown,20200514,99158,"INEFFECTIVE, WHIPS",20200401,20200401,Animal Owner,Oral,"Tablet, chewable"
86,Cat,Female,1.00,3.515,Domestic Shorthair,Eprinomectin,Recovered/Normal,20200803,2656,Lack of efficacy (endoparasite) - roundworm NOS,20200604,20200604,Veterinarian,Topical,Solution
87,Dog,Male,9.00,24.766,Carolina Dog,Ivermectin,Outcome Unknown,20200717,2430,Lack of efficacy (endoparasite) - heartworm,20150101,20191201,Animal Owner,Oral,"Tablet, chewable"
88,Cat,Unknown,0,0,Cat (unknown),Nitenpyram,Outcome Unknown,20200521,469,Conjunctivitis,20200416,20200521,Animal Owner,Oral,Tablet
89,Dog,Female,10.00,20.230,Hound - Basset,Ivermectin,Outcome Unknown,20200814,2798,Lack of efficacy (endoparasite) - hookworm,20200801,20200801,Animal Owner,Oral,"Tablet, chewable"
90,Cat,Male,11.00,4.082,Domestic Shorthair,Florfenicol,Outcome Unknown,20190326,1414,Dilated pupils,20190326,20190326,Other Health Care Professional,Unknown,Solution
91,Dog,Female,6.00,22.544,Crossbred Canine/dog,Milbemycin Oxime,Outcome Unknown,20190607,99112,"INEFFECTIVE, HOOKS",20190301,20190521,Animal Owner,Oral,"Tablet, chewable"
92,Human,Male,53.00,113.400,Unknown,Moxidectin,Outcome Unknown,20190513,302,Diarrhoea,20190510,20190510,Other,Other,Solution
93,Dog,Male,0,0,Dog (unknown),Moxidectin,Died,20190607,984,Death,20190601,20190601,Veterinarian,Unknown,Suspension
94,Cat,Male,10.00,7.711,Domestic Longhair,Imidacloprid,Recovered/Normal,20190812,118,Hyperactivity,20190701,20190701,Animal Owner,Topical,Solution
95,Dog,Male,2.00,25.537,"['Cattle Dog - Australian (blue heeler, red heeler, Queensland cattledog)', 'Dog (unknown)']",Milbemycin Oxime,Outcome Unknown,20190829,2430,Lack of efficacy (endoparasite) - heartworm,20171215,20190715,Animal Owner,Oral,Tablet
96,Human,Female,17.00,63.500,Unknown,Afoxolaner,Outcome Unknown,20191003,999,Inappetence,20190923,20190923,Other,Unknown,"Tablet, chewable"
97,Dog,Male,8.00,11.340,"['Chinese Crested Dog (unspecified)', 'Poodle (unspecified)']",Spinosad,Outcome Unknown,20190910,960,Pruritus,20190903,20190903,Unknown,Oral,"Tablet, chewable"
98,Cat,Male,6.00,2.631,Domestic Shorthair,Imidacloprid,Recovered/Normal,20190911,293,Hypersalivation,201908,201908,Animal Owner,Topical,Solution
99,Dog,Female,0,0,Dog (unknown),Spinosad,Outcome Unknown,20190128,1481,Food allergy,20190101,20190101,Animal Owner,Oral,"Tablet, chewable"
100,Dog,Female,15.00,15.694,Crossbred Canine/dog,Ivermectin,Recovered with Sequela,20191008,2430,Lack of efficacy (endoparasite) - heartworm,20181016,20191001,Animal Owner,Oral,"Tablet, chewable"
101,Dog,Male,10.00,67.720,"Deutsche Dogge, Great Dane",Grapiprant,Outcome Unknown,20200109,1039,Lack of efficacy - NOS,20180109,20200109,Animal Owner,Oral,Tablet
102,Unknown,Unknown,0,0,Unknown,Robenacoxib,Unknown,20191227,99009,Defect Unknown/Not Specified,,,Unknown,Unknown,Tablet
103,Cat,Male,1.00,9.072,Domestic Longhair,Nitenpyram,Ongoing,20200425,121,Agitation,20200425,20200425,Animal Owner,Oral,Tablet
104,Dog,Male,4.00,6.985,"['Terrier (unspecified)', 'Dog (unknown)']",Moxidectin,Ongoing,20191111,2436,Lack of efficacy (endoparasite) - NOS,20190506,20190506,Unknown,Subcutaneous,Suspension
105,Dog,Male,4.00,10.886,Treeing Feist,Ivermectin,Outcome Unknown,20200211,2430,Lack of efficacy (endoparasite) - heartworm,20190121,20200201,Animal Owner,Oral,"Tablet, chewable"
106,Dog,Female,3.00,18.234,Beagle,Spinosad,Outcome Unknown,20190715,99112,"INEFFECTIVE, HOOKS",20180716,20190513,Animal Owner,Oral,"Tablet, chewable"
107,Dog,Female,4.00,30.255,Pit Bull,Spinosad,Outcome Unknown,20190411,2430,Lack of efficacy (endoparasite) - heartworm,20150914,20180801,Animal Owner,Oral,"Tablet, chewable"
108,Dog,Male,0,0,Dog (unknown),Ivermectin,Outcome Unknown,20200505,334,Vomiting,20200503,20200503,Animal Owner,Oral,"Tablet, chewable"
109,Dog,Female,6.00,33.566,Retriever - Labrador,Ivermectin,Recovered with Sequela,20200127,2430,Lack of efficacy (endoparasite) - heartworm,20140109,20200118,Animal Owner,Oral,"Tablet, chewable"
110,Dog,Male,7.00,9.979,Schnauzer - Miniature,Milbemycin Oxime,Recovered/Normal,20200606,344,Gagging,20191101,20200606,Animal Owner,Oral,"Tablet, chewable"
111,Cattle,Female,0,0,Cattle (unknown),Penicillin G Procaine,Recovered/Normal,20061012,2043,Residues in milk,,,Veterinarian,Unknown,Solution
112,Dog,Female,5.00,3.180,Chihuahua,Spinosad,Outcome Unknown,20080926,2649,Lack of efficacy (ectoparasite) - flea,20080903,,Animal Owner,Oral,"Tablet, chewable"
113,Dog,Male,3.00,44.996,Rottweiler,Ivermectin,Outcome Unknown,20210120,2430,Lack of efficacy (endoparasite) - heartworm,20180220,20201201,Animal Owner,Oral,"Tablet, chewable"
114,Dog,Female,5.00,16.783,Brittany,Grapiprant,Ongoing,20201214,1033,Elevated temperature,20201208,20201214,Animal Owner,Oral,Tablet
115,Dog,Unknown,0,0,Dog (unknown),Sarolaner,Outcome Unknown,20200714,2649,Lack of efficacy (ectoparasite) - flea,20200701,20200701,Animal Owner,Oral,"Tablet, chewable"
116,Dog,Unknown,0,0,Dog (unknown),Milbemycin Oxime,Died,20201110,202,Cardiac disorder NOS,20200201,20200301,Animal Owner,Oral,"Tablet, chewable"
117,Dog,Male,10.00,5.126,Terrier (unspecified),Spinosad,Ongoing,20200914,334,Vomiting,20200514,20200914,Animal Owner,Oral,"Tablet, chewable"
118,Dog,Unknown,14.00,0,Cattle Dog - Flanders (Bouvier),Ivermectin,Outcome Unknown,20201216,334,Vomiting,20200101,20200101,Animal Owner,Oral,"Tablet, chewable"
119,Horse,Unknown,30.00,0,Horse (unknown),Pergolide Mesylate,Outcome Unknown,20210205,996,Anorexia,20210121,,Animal Owner,Oral,Tablet
120,Dog,Male,4.00,32.205,"['Terrier - Bull - American Pit', 'Dog (unknown)']",Cefpodoxime Proxetil,Ongoing,20201016,335,Emesis,20201003,20201013,Animal Owner,Oral,Tablet
121,Dog,Male,10.00,4.600,"['Terrier - Yorkshire', 'Dog (unknown)']",Moxidectin,Recovered/Normal,20201228,1525,Hives (see also 'Skin'),20201222,20201222,Other Health Care Professional,Subcutaneous,Suspension
122,Dog,Male,8.00,38.691,Shepherd Dog - Belgian Malinois,Milbemycin Oxime,Outcome Unknown,20210318,2430,Lack of efficacy (endoparasite) - heartworm,20190205,20200101,Animal Owner,Oral,"Tablet, chewable"
123,Dog,Female,8.00,9.980,Terrier - Jack Russell,Spinosad,Recovered/Normal,20111020,335,Emesis,20111012,20111012,Animal Owner,Oral,"Tablet, chewable"
124,Human,Male,63.00,0,Unknown,Tilmicosin Phosphate,Recovered/Normal,20120108,1555,Injection site tingling,20120108,20120108,Patient,Intramuscular,Solution
125,Dog,Male,0,0,Dog (unknown),Spinosad,Outcome Unknown,20210421,929,Dermal cyst(s),20150101,20210101,Animal Owner,Oral,"Tablet, chewable"
126,Cat,Male,10.00,4.536,Domestic Shorthair,Meloxicam,Outcome Unknown,20210125,222,Pale mucous membrane,20210123,20210123,Veterinarian,Subcutaneous,Injection
127,Cattle,Female,0,0,Crossbred Bovine/Cattle,Cloprostenol 263 Inj Cattle,Outcome Unknown,20210210,99954,"INEFFECTIVE, ESTRUS INDUCTION",2021,2021,Animal Owner,Intramuscular,Solution
128,Dog,Male,9.00,19.958,Beagle,Moxidectin,Ongoing,20210614,1018,Lethargy (see also Central nervous system depression in 'Neurological'),20210612,20210612,Unknown,Subcutaneous,Suspension
129,Dog,Female,7.00,22.680,Dog (unknown),Pyrantel Pamoate;Sarolaner,Outcome Unknown,20210629,2649,Lack of efficacy (ectoparasite) - flea,20210410,20210610,Animal Owner,Oral,"Tablet, chewable"
130,Dog,Female,5.00,30.844,Dog (unknown),Afoxolaner,Outcome Unknown,20210316,2649,Lack of efficacy (ectoparasite) - flea,20210304,20210304,Animal Owner,Oral,"Tablet, chewable"
131,Dog,Unknown,1.00,0,"['Crossbred Canine/dog', 'Retriever - Labrador', 'Poodle (unspecified)']",Fluralaner 13.64% 12-Week Chew,Died,20210527,984,Death,202104,202104,Unknown,Unknown,"Tablet, chewable"
132,Dog,Female,0,0,Doberman Pinscher,Spinosad,Outcome Unknown,20210712,1900,Head tremor,20210708,20210708,Animal Owner,Oral,"Tablet, chewable"
133,Dog,Male,0,0,Dog (unknown),Firocoxib,Unknown,20090128,119,Restlessness,,,Unknown,Oral,"Tablet, chewable"
134,Dog,Unknown,0,6.800,Dog (unknown),Spinosad,Unknown,20090713,99809,Accidental exposure,,,Unknown,Oral,"Tablet, chewable"
135,Dog,Unknown,0,0,Dog (unknown),Spinosad,Unknown,20100629,99018,"Odor, Abnormal",,,Unknown,Oral,"Tablet, chewable"
136,Cat,Unknown,0,4.540,Cat (unknown),Carprofen,Unknown,20010531,1909,No sign,,,Unknown,Oral,"Tablet, chewable"
137,Dog,Male,6.00,17.690,Dog (unknown),Carprofen,Unknown,20120307,1974,Excessive licking and/or grooming,,,Unknown,Oral,"Tablet, chewable"
138,Unknown,Unknown,0,0,Unknown,Meloxicam,Unknown,20100211,99004,"Containers, Abnormal",,,Unknown,Unknown,Suspension
139,Dog,Mixed,3.00,9.072,"['Pug', 'Pug', 'Pug', 'Pug', 'Pug', 'Pug']","Milbemcyin Oxime, Lufenuron, Praziquantel",Recovered/Normal,20160322,2028,Crystalluria,20150322,20160222,Animal Owner,Oral,"Tablet, chewable"
140,Dog,Male,6.00,23.587,Collie (unspecified),Milbemycin Oxime,Recovered/Normal,20160105,334,Vomiting,20160101,20160101,Animal Owner,Oral,"Tablet, chewable"
141,Dog,Female,12.00,5.851,Terrier - Rat,Spinosad,Outcome Unknown,20160523,99088,"INEFFECTIVE, ASCARIDS NOS",20121101,20160501,Animal Owner,Oral,"Tablet, chewable"
142,Cat,Female,8.00,5.216,Domestic Shorthair,Spinosad,Recovered/Normal,20160314,334,Vomiting,20160311,20160311,Animal Owner,Oral,"Tablet, chewable"
143,Dog,Male,8.00,8.618,Beagle,Spinosad,Recovered/Normal,20160315,334,Vomiting,201510,20160315,Animal Owner,Oral,"Tablet, chewable"
144,Dog,Male,1.00,9.525,Spaniel - King Charles Cavalier,Spinosad,Recovered/Normal,20160519,2246,Star-gazing,20160518,20160518,Animal Owner,Oral,"Tablet, chewable"
145,Dog,Female,4.00,1.720,Dog (unknown),Spinosad,Unknown,20100625,654,Ataxia,,,Unknown,Oral,"Tablet, chewable"
146,Dog,Female,10.00,26.308,Unknown,Melarsomine Dihydrochloride Injection,Outcome Unknown,20150407,855,Panting,20150406,20150406,Veterinarian,Intramuscular,Suspension
147,Dog,Male,1.00,10.795,Bulldog - French,Afoxolaner,Outcome Unknown,20150304,334,Vomiting,20150201,20150301,Animal Owner,Oral,"Tablet, chewable"
148,Dog,Female,7.00,3.629,"['Terrier - Scottish', 'Chihuahua']",Spinosad,Outcome Unknown,20150316,1039,Lack of efficacy - NOS,20120101,20150221,Animal Owner,Oral,"Tablet, chewable"
149,Dog,Female,13.00,31.750,Crossbred Canine/dog,Phenylpropanolamine Hcl,Died,20150611,335,Emesis,20131010,20150519,Animal Owner,Oral,"Tablet, chewable"
150,Dog,Male,6.00,10.430,Spitz - German Pomeranian,Nitenpyram,Ongoing,20150519,1039,Lack of efficacy - NOS,20150512,20150513,Animal Owner,Oral,Tablet
151,Dog,Female,9.00,26.220,Bulldog,Oclacitinib Maleate,Outcome Unknown,20150522,1214,Swelling NOS,,,Animal Owner,Oral,Tablet
